Cycle,CommandPos-0,FeedbackPos-0,CommandPos-1,FeedbackPos-1,CommandPos-2,FeedbackPos-2
6488.00,792.223409941,772.000000000,1584.446819882,1544.000000000,2376.670229824,2315.000000000
6489.00,812.934259754,792.000000000,1625.868519508,1584.000000000,2438.802779262,2377.000000000
6490.00,833.912346339,813.000000000,1667.824692678,1626.000000000,2501.737039017,2439.000000000
6491.00,855.157669695,834.000000000,1710.315339391,1668.000000000,2565.473009086,2502.000000000
6492.00,876.670229824,855.000000000,1753.340459647,1710.000000000,2630.010689471,2565.000000000
6493.00,898.450026724,877.000000000,1796.900053447,1753.000000000,2695.350080171,2630.000000000
6494.00,920.497060396,898.000000000,1840.994120791,1797.000000000,2761.491181187,2695.000000000
6495.00,942.811330839,920.000000000,1885.622661678,1841.000000000,2828.433992517,2761.000000000
6496.00,965.392838055,943.000000000,1930.785676109,1886.000000000,2896.178514164,2828.000000000
6497.00,988.241582042,965.000000000,1976.483164083,1931.000000000,2964.724746125,2896.000000000
6498.00,1011.357562801,988.000000000,2022.715125601,1976.000000000,3034.072688402,2965.000000000
6499.00,1034.740780331,1011.000000000,2069.481560663,2023.000000000,3104.222340994,3034.000000000
6500.00,1058.391234634,1035.000000000,2116.782469268,2069.000000000,3175.173703902,3104.000000000
6501.00,1082.308925708,1058.000000000,2164.617851416,2117.000000000,3246.926777125,3175.000000000
6502.00,1106.493853554,1082.000000000,2212.987707109,2165.000000000,3319.481560663,3247.000000000
6503.00,1130.946018172,1106.000000000,2261.892036344,2213.000000000,3392.838054516,3319.000000000
6504.00,1155.665419562,1131.000000000,2311.330839123,2262.000000000,3466.996258685,3393.000000000
6505.00,1180.652057723,1156.000000000,2361.304115446,2311.000000000,3541.956173169,3467.000000000
6506.00,1205.905932656,1181.000000000,2411.811865313,2361.000000000,3617.717797969,3542.000000000
6507.00,1231.427044361,1206.000000000,2462.854088723,2412.000000000,3694.281133084,3618.000000000
6508.00,1257.215392838,1231.000000000,2514.430785676,2463.000000000,3771.646178514,3694.000000000
6509.00,1283.270978087,1257.000000000,2566.541956173,2514.000000000,3849.812934260,3772.000000000
6510.00,1309.593800107,1283.000000000,2619.187600214,2567.000000000,3928.781400321,3850.000000000
6511.00,1336.183858899,1310.000000000,2672.367717798,2619.000000000,4008.551576697,3929.000000000
6512.00,1362.907536077,1336.000000000,2725.815072154,2672.000000000,4088.722608231,4009.000000000
6513.00,1389.631213255,1363.000000000,2779.262426510,2726.000000000,4168.893639765,4089.000000000
6514.00,1416.354890433,1390.000000000,2832.709780866,2779.000000000,4249.064671299,4169.000000000
6515.00,1443.078567611,1416.000000000,2886.157135222,2833.000000000,4329.235702833,4249.000000000
6516.00,1469.802244789,1443.000000000,2939.604489578,2886.000000000,4409.406734367,4329.000000000
6517.00,1496.525921967,1470.000000000,2993.051843934,2940.000000000,4489.577765901,4409.000000000
6518.00,1523.249599145,1497.000000000,3046.499198290,2993.000000000,4569.748797435,4490.000000000
6519.00,1549.973276323,1523.000000000,3099.946552646,3046.000000000,4649.919828968,4570.000000000
6520.00,1576.696953501,1550.000000000,3153.393907002,3100.000000000,4730.090860502,4650.000000000
6521.00,1603.420630679,1577.000000000,3206.841261358,3153.000000000,4810.261892036,4730.000000000
6522.00,1630.144307857,1603.000000000,3260.288615714,3207.000000000,4890.432923570,4810.000000000
6523.00,1656.867985035,1630.000000000,3313.735970069,3260.000000000,4970.603955104,4890.000000000
6524.00,1683.591662213,1657.000000000,3367.183324425,3314.000000000,5050.774986638,4971.000000000
6525.00,1710.315339391,1684.000000000,3420.630678781,3367.000000000,5130.946018172,5051.000000000
6526.00,1737.039016569,1710.000000000,3474.078033137,3421.000000000,5211.117049706,5131.000000000
6527.00,1763.762693747,1737.000000000,3527.525387493,3474.000000000,5291.288081240,5211.000000000
6528.00,1790.486370925,1764.000000000,3580.972741849,3528.000000000,5371.459112774,5291.000000000
6529.00,1817.210048103,1790.000000000,3634.420096205,3581.000000000,5451.630144308,5371.000000000
6530.00,1843.933725281,1817.000000000,3687.867450561,3634.000000000,5531.801175842,5452.000000000
6531.00,1870.657402459,1844.000000000,3741.314804917,3688.000000000,5611.972207376,5532.000000000
6532.00,1897.381079637,1871.000000000,3794.762159273,3741.000000000,5692.143238910,5612.000000000
6533.00,1924.104756815,1897.000000000,3848.209513629,3795.000000000,5772.314270444,5692.000000000
6534.00,1950.828433993,1924.000000000,3901.656867985,3848.000000000,5852.485301978,5772.000000000
6535.00,1977.552111171,1951.000000000,3955.104222341,3902.000000000,5932.656333511,5852.000000000
6536.00,2004.275788348,1978.000000000,4008.551576697,3955.000000000,6012.827365045,5933.000000000
6537.00,2030.999465526,2004.000000000,4061.998931053,4009.000000000,6092.998396579,6013.000000000
6538.00,2057.723142704,2031.000000000,4115.446285409,4062.000000000,6173.169428113,6093.000000000
6539.00,2084.446819882,2058.000000000,4168.893639765,4115.000000000,6253.340459647,6173.000000000
6540.00,2111.170497060,2084.000000000,4222.340994121,4169.000000000,6333.511491181,6253.000000000
6541.00,2137.894174238,2111.000000000,4275.788348477,4222.000000000,6413.682522715,6334.000000000
6542.00,2164.617851416,2138.000000000,4329.235702833,4276.000000000,6493.853554249,6414.000000000
6543.00,2191.341528594,2165.000000000,4382.683057189,4329.000000000,6574.024585783,6494.000000000
6544.00,2218.065205772,2191.000000000,4436.130411545,4383.000000000,6654.195617317,6574.000000000
6545.00,2244.788882950,2218.000000000,4489.577765901,4436.000000000,6734.366648851,6654.000000000
6546.00,2271.512560128,2245.000000000,4543.025120257,4490.000000000,6814.537680385,6734.000000000
6547.00,2298.236237306,2272.000000000,4596.472474613,4543.000000000,6894.708711919,6815.000000000
6548.00,2324.959914484,2298.000000000,4649.919828968,4596.000000000,6974.879743453,6895.000000000
6549.00,2351.683591662,2325.000000000,4703.367183324,4650.000000000,7055.050774987,6975.000000000
6550.00,2378.407268840,2352.000000000,4756.814537680,4703.000000000,7135.221806521,7055.000000000
6551.00,2405.130946018,2378.000000000,4810.261892036,4757.000000000,7215.392838055,7135.000000000
6552.00,2431.854623196,2405.000000000,4863.709246392,4810.000000000,7295.563869588,7215.000000000
6553.00,2458.578300374,2432.000000000,4917.156600748,4864.000000000,7375.734901122,7296.000000000
6554.00,2485.301977552,2459.000000000,4970.603955104,4917.000000000,7455.905932656,7376.000000000
6555.00,2512.025654730,2485.000000000,5024.051309460,4971.000000000,7536.076964190,7456.000000000
6556.00,2538.749331908,2512.000000000,5077.498663816,5024.000000000,7616.247995724,7536.000000000
6557.00,2565.473009086,2539.000000000,5130.946018172,5077.000000000,7696.419027258,7616.000000000
6558.00,2592.196686264,2565.000000000,5184.393372528,5131.000000000,7776.590058792,7696.000000000
6559.00,2618.920363442,2592.000000000,5237.840726884,5184.000000000,7856.761090326,7777.000000000
6560.00,2645.644040620,2619.000000000,5291.288081240,5238.000000000,7936.932121860,7857.000000000
6561.00,2672.367717798,2646.000000000,5344.735435596,5291.000000000,8017.103153394,7937.000000000
6562.00,2699.091394976,2672.000000000,5398.182789952,5345.000000000,8097.274184928,8017.000000000
6563.00,2725.815072154,2699.000000000,5451.630144308,5398.000000000,8177.445216462,8097.000000000
6564.00,2752.538749332,2726.000000000,5505.077498664,5452.000000000,8257.616247996,8177.000000000
6565.00,2779.262426510,2753.000000000,5558.524853020,5505.000000000,8337.787279530,8258.000000000
6566.00,2805.986103688,2779.000000000,5611.972207376,5559.000000000,8417.958311064,8338.000000000
6567.00,2832.709780866,2806.000000000,5665.419561732,5612.000000000,8498.129342598,8418.000000000
6568.00,2859.433458044,2833.000000000,5718.866916088,5665.000000000,8578.300374131,8498.000000000
6569.00,2886.157135222,2859.000000000,5772.314270444,5719.000000000,8658.471405665,8578.000000000
6570.00,2912.880812400,2886.000000000,5825.761624800,5772.000000000,8738.642437199,8658.000000000
6571.00,2939.604489578,2913.000000000,5879.208979156,5826.000000000,8818.813468733,8739.000000000
6572.00,2966.328166756,2940.000000000,5932.656333511,5879.000000000,8898.984500267,8819.000000000
6573.00,2993.051843934,2966.000000000,5986.103687867,5933.000000000,8979.155531801,8899.000000000
6574.00,3019.775521112,2993.000000000,6039.551042223,5986.000000000,9059.326563335,8979.000000000
6575.00,3046.499198290,3020.000000000,6092.998396579,6040.000000000,9139.497594869,9059.000000000
6576.00,3073.222875468,3046.000000000,6146.445750935,6093.000000000,9219.668626403,9139.000000000
6577.00,3099.946552646,3073.000000000,6199.893105291,6146.000000000,9299.839657937,9220.000000000
6578.00,3126.670229824,3100.000000000,6253.340459647,6200.000000000,9380.010689471,9300.000000000
6579.00,3153.393907002,3127.000000000,6306.787814003,6253.000000000,9460.181721005,9380.000000000
6580.00,3180.117584180,3153.000000000,6360.235168359,6307.000000000,9540.352752539,9460.000000000
6581.00,3206.841261358,3180.000000000,6413.682522715,6360.000000000,9620.523784073,9540.000000000
6582.00,3233.564938536,3207.000000000,6467.129877071,6414.000000000,9700.694815607,9621.000000000
6583.00,3260.288615714,3234.000000000,6520.577231427,6467.000000000,9780.865847141,9701.000000000
6584.00,3287.012292892,3260.000000000,6574.024585783,6521.000000000,9861.036878675,9781.000000000
6585.00,3313.735970069,3287.000000000,6627.471940139,6574.000000000,9941.207910208,9861.000000000
6586.00,3340.459647247,3314.000000000,6680.919294495,6627.000000000,10021.378941742,9941.000000000
6587.00,3367.183324425,3340.000000000,6734.366648851,6681.000000000,10101.549973276,10021.000000000
6588.00,3393.907001603,3367.000000000,6787.814003207,6734.000000000,10181.721004810,10102.000000000
6589.00,3420.630678781,3394.000000000,6841.261357563,6788.000000000,10261.892036344,10182.000000000
6590.00,3447.354355959,3421.000000000,6894.708711919,6841.000000000,10342.063067878,10262.000000000
6591.00,3474.078033137,3447.000000000,6948.156066275,6895.000000000,10422.234099412,10342.000000000
6592.00,3500.801710315,3474.000000000,7001.603420631,6948.000000000,10502.405130946,10422.000000000
6593.00,3527.525387493,3501.000000000,7055.050774987,7002.000000000,10582.576162480,10502.000000000
6594.00,3554.249064671,3528.000000000,7108.498129343,7055.000000000,10662.747194014,10583.000000000
6595.00,3580.972741849,3554.000000000,7161.945483699,7108.000000000,10742.918225548,10663.000000000
6596.00,3607.696419027,3581.000000000,7215.392838055,7162.000000000,10823.089257082,10743.000000000
6597.00,3634.420096205,3608.000000000,7268.840192410,7215.000000000,10903.260288616,10823.000000000
6598.00,3661.143773383,3634.000000000,7322.287546766,7269.000000000,10983.431320150,10903.000000000
6599.00,3687.867450561,3661.000000000,7375.734901122,7322.000000000,11063.602351684,10983.000000000
6600.00,3714.591127739,3688.000000000,7429.182255478,7376.000000000,11143.773383218,11064.000000000
6601.00,3741.314804917,3715.000000000,7482.629609834,7429.000000000,11223.944414752,11144.000000000
6602.00,3768.038482095,3741.000000000,7536.076964190,7483.000000000,11304.115446285,11224.000000000
6603.00,3794.762159273,3768.000000000,7589.524318546,7536.000000000,11384.286477819,11304.000000000
6604.00,3821.485836451,3795.000000000,7642.971672902,7590.000000000,11464.457509353,11384.000000000
6605.00,3848.209513629,3821.000000000,7696.419027258,7643.000000000,11544.628540887,11464.000000000
6606.00,3874.933190807,3848.000000000,7749.866381614,7696.000000000,11624.799572421,11545.000000000
6607.00,3901.656867985,3875.000000000,7803.313735970,7750.000000000,11704.970603955,11625.000000000
6608.00,3928.380545163,3902.000000000,7856.761090326,7803.000000000,11785.141635489,11705.000000000
6609.00,3955.104222341,3928.000000000,7910.208444682,7857.000000000,11865.312667023,11785.000000000
6610.00,3981.827899519,3955.000000000,7963.655799038,7910.000000000,11945.483698557,11865.000000000
6611.00,4008.551576697,3982.000000000,8017.103153394,7964.000000000,12025.654730091,11945.000000000
6612.00,4035.275253875,4009.000000000,8070.550507750,8017.000000000,12105.825761625,12026.000000000
6613.00,4061.998931053,4035.000000000,8123.997862106,8071.000000000,12185.996793159,12106.000000000
6614.00,4088.722608231,4062.000000000,8177.445216462,8124.000000000,12266.167824693,12186.000000000
6615.00,4115.446285409,4089.000000000,8230.892570818,8177.000000000,12346.338856227,12266.000000000
6616.00,4142.169962587,4115.000000000,8284.339925174,8231.000000000,12426.509887761,12346.000000000
6617.00,4168.893639765,4142.000000000,8337.787279530,8284.000000000,12506.680919295,12427.000000000
6618.00,4195.617316943,4169.000000000,8391.234633886,8338.000000000,12586.851950828,12507.000000000
6619.00,4222.340994121,4196.000000000,8444.681988242,8391.000000000,12667.022982362,12587.000000000
6620.00,4249.064671299,4222.000000000,8498.129342598,8445.000000000,12747.194013896,12667.000000000
6621.00,4275.788348477,4249.000000000,8551.576696954,8498.000000000,12827.365045430,12747.000000000
6622.00,4302.512025655,4276.000000000,8605.024051309,8552.000000000,12907.536076964,12827.000000000
6623.00,4329.235702833,4303.000000000,8658.471405665,8605.000000000,12987.707108498,12908.000000000
6624.00,4355.959380011,4329.000000000,8711.918760021,8658.000000000,13067.878140032,12988.000000000
6625.00,4382.683057189,4356.000000000,8765.366114377,8712.000000000,13148.049171566,13068.000000000
6626.00,4409.406734367,4383.000000000,8818.813468733,8765.000000000,13228.220203100,13148.000000000
6627.00,4436.130411545,4409.000000000,8872.260823089,8819.000000000,13308.391234634,13228.000000000
6628.00,4462.854088723,4436.000000000,8925.708177445,8872.000000000,13388.562266168,13308.000000000
6629.00,4489.577765901,4463.000000000,8979.155531801,8926.000000000,13468.733297702,13389.000000000
6630.00,4516.301443079,4490.000000000,9032.602886157,8979.000000000,13548.904329236,13469.000000000
6631.00,4543.025120257,4516.000000000,9086.050240513,9033.000000000,13629.075360770,13549.000000000
6632.00,4569.748797435,4543.000000000,9139.497594869,9086.000000000,13709.246392304,13629.000000000
6633.00,4596.472474613,4570.000000000,9192.944949225,9139.000000000,13789.417423838,13709.000000000
6634.00,4623.196151790,4596.000000000,9246.392303581,9193.000000000,13869.588455372,13789.000000000
6635.00,4649.919828968,4623.000000000,9299.839657937,9246.000000000,13949.759486905,13870.000000000
6636.00,4676.643506146,4650.000000000,9353.287012293,9300.000000000,14029.930518439,13950.000000000
6637.00,4703.367183324,4677.000000000,9406.734366649,9353.000000000,14110.101549973,14030.000000000
6638.00,4730.090860502,4703.000000000,9460.181721005,9407.000000000,14190.272581507,14110.000000000
6639.00,4756.814537680,4730.000000000,9513.629075361,9460.000000000,14270.443613041,14190.000000000
6640.00,4783.538214858,4757.000000000,9567.076429717,9514.000000000,14350.614644575,14270.000000000
6641.00,4810.261892036,4784.000000000,9620.523784073,9567.000000000,14430.785676109,14351.000000000
6642.00,4836.985569214,4810.000000000,9673.971138429,9621.000000000,14510.956707643,14431.000000000
6643.00,4863.709246392,4837.000000000,9727.418492785,9674.000000000,14591.127739177,14511.000000000
6644.00,4890.432923570,4864.000000000,9780.865847141,9727.000000000,14671.298770711,14591.000000000
6645.00,4917.156600748,4890.000000000,9834.313201497,9781.000000000,14751.469802245,14671.000000000
6646.00,4943.880277926,4917.000000000,9887.760555852,9834.000000000,14831.640833779,14751.000000000
6647.00,4970.603955104,4944.000000000,9941.207910208,9888.000000000,14911.811865313,14832.000000000
6648.00,4997.327632282,4971.000000000,9994.655264564,9941.000000000,14991.982896847,14912.000000000
6649.00,5024.051309460,4997.000000000,10048.102618920,9995.000000000,15072.153928381,14992.000000000
6650.00,5050.774986638,5024.000000000,10101.549973276,10048.000000000,15152.324959915,15072.000000000
6651.00,5077.498663816,5051.000000000,10154.997327632,10102.000000000,15232.495991448,15152.000000000
6652.00,5104.222340994,5077.000000000,10208.444681988,10155.000000000,15312.667022982,15232.000000000
6653.00,5130.946018172,5104.000000000,10261.892036344,10208.000000000,15392.838054516,15313.000000000
6654.00,5157.669695350,5131.000000000,10315.339390700,10262.000000000,15473.009086050,15393.000000000
6655.00,5184.393372528,5158.000000000,10368.786745056,10315.000000000,15553.180117584,15473.000000000
6656.00,5211.117049706,5184.000000000,10422.234099412,10369.000000000,15633.351149118,15553.000000000
6657.00,5237.840726884,5211.000000000,10475.681453768,10422.000000000,15713.522180652,15633.000000000
6658.00,5264.564404062,5238.000000000,10529.128808124,10476.000000000,15793.693212186,15714.000000000
6659.00,5291.288081240,5265.000000000,10582.576162480,10529.000000000,15873.864243720,15794.000000000
6660.00,5318.011758418,5291.000000000,10636.023516836,10583.000000000,15954.035275254,15874.000000000
6661.00,5344.735435596,5318.000000000,10689.470871192,10636.000000000,16034.206306788,15954.000000000
6662.00,5371.459112774,5345.000000000,10742.918225548,10689.000000000,16114.377338322,16034.000000000
6663.00,5398.182789952,5371.000000000,10796.365579904,10743.000000000,16194.548369856,16114.000000000
6664.00,5424.906467130,5398.000000000,10849.812934260,10796.000000000,16274.719401390,16195.000000000
6665.00,5451.630144308,5425.000000000,10903.260288616,10850.000000000,16354.890432924,16275.000000000
6666.00,5478.353821486,5452.000000000,10956.707642972,10903.000000000,16435.061464458,16355.000000000
6667.00,5505.077498664,5478.000000000,11010.154997328,10957.000000000,16515.232495991,16435.000000000
6668.00,5531.801175842,5505.000000000,11063.602351684,11010.000000000,16595.403527525,16515.000000000
6669.00,5558.524853020,5532.000000000,11117.049706040,11064.000000000,16675.574559059,16595.000000000
6670.00,5585.248530198,5559.000000000,11170.497060396,11117.000000000,16755.745590593,16676.000000000
6671.00,5611.972207376,5585.000000000,11223.944414752,11170.000000000,16835.916622127,16756.000000000
6672.00,5638.695884554,5612.000000000,11277.391769107,11224.000000000,16916.087653661,16836.000000000
6673.00,5665.419561732,5639.000000000,11330.839123463,11277.000000000,16996.258685195,16916.000000000
6674.00,5692.143238910,5665.000000000,11384.286477819,11331.000000000,17076.429716729,16996.000000000
6675.00,5718.866916088,5692.000000000,11437.733832175,11384.000000000,17156.600748263,17076.000000000
6676.00,5745.590593266,5719.000000000,11491.181186531,11438.000000000,17236.771779797,17157.000000000
6677.00,5772.314270444,5746.000000000,11544.628540887,11491.000000000,17316.942811331,17237.000000000
6678.00,5799.037947622,5772.000000000,11598.075895243,11545.000000000,17397.113842865,17317.000000000
6679.00,5825.761624800,5799.000000000,11651.523249599,11598.000000000,17477.284874399,17397.000000000
6680.00,5852.485301978,5826.000000000,11704.970603955,11652.000000000,17557.455905933,17477.000000000
6681.00,5879.208979156,5852.000000000,11758.417958311,11705.000000000,17637.626937467,17557.000000000
6682.00,5905.932656334,5879.000000000,11811.865312667,11758.000000000,17717.797969001,17638.000000000
6683.00,5932.656333511,5906.000000000,11865.312667023,11812.000000000,17797.969000535,17718.000000000
6684.00,5959.380010689,5933.000000000,11918.760021379,11865.000000000,17878.140032068,17798.000000000
6685.00,5986.103687867,5959.000000000,11972.207375735,11919.000000000,17958.311063602,17878.000000000
6686.00,6012.827365045,5986.000000000,12025.654730091,11972.000000000,18038.482095136,17958.000000000
6687.00,6039.551042223,6013.000000000,12079.102084447,12026.000000000,18118.653126670,18038.000000000
6688.00,6066.274719401,6040.000000000,12132.549438803,12079.000000000,18198.824158204,18119.000000000
6689.00,6092.998396579,6066.000000000,12185.996793159,12133.000000000,18278.995189738,18199.000000000
6690.00,6119.722073757,6093.000000000,12239.444147515,12186.000000000,18359.166221272,18279.000000000
6691.00,6146.445750935,6120.000000000,12292.891501871,12239.000000000,18439.337252806,18359.000000000
6692.00,6173.169428113,6146.000000000,12346.338856227,12293.000000000,18519.508284340,18439.000000000
6693.00,6199.893105291,6173.000000000,12399.786210583,12346.000000000,18599.679315874,18520.000000000
6694.00,6226.616782469,6200.000000000,12453.233564939,12400.000000000,18679.850347408,18600.000000000
6695.00,6253.340459647,6227.000000000,12506.680919295,12453.000000000,18760.021378942,18680.000000000
6696.00,6280.064136825,6253.000000000,12560.128273651,12507.000000000,18840.192410476,18760.000000000
6697.00,6306.787814003,6280.000000000,12613.575628006,12560.000000000,18920.363442010,18840.000000000
6698.00,6333.511491181,6307.000000000,12667.022982362,12614.000000000,19000.534473544,18920.000000000
6699.00,6360.235168359,6334.000000000,12720.470336718,12667.000000000,19080.705505078,19001.000000000
6700.00,6386.958845537,6360.000000000,12773.917691074,12720.000000000,19160.876536611,19081.000000000
6701.00,6413.682522715,6387.000000000,12827.365045430,12774.000000000,19241.047568145,19161.000000000
6702.00,6440.406199893,6414.000000000,12880.812399786,12827.000000000,19321.218599679,19241.000000000
6703.00,6467.129877071,6440.000000000,12934.259754142,12881.000000000,19401.389631213,19321.000000000
6704.00,6493.853554249,6467.000000000,12987.707108498,12934.000000000,19481.560662747,19401.000000000
6705.00,6520.577231427,6494.000000000,13041.154462854,12988.000000000,19561.731694281,19482.000000000
6706.00,6547.300908605,6521.000000000,13094.601817210,13041.000000000,19641.902725815,19562.000000000
6707.00,6574.024585783,6547.000000000,13148.049171566,13095.000000000,19722.073757349,19642.000000000
6708.00,6600.748262961,6574.000000000,13201.496525922,13148.000000000,19802.244788883,19722.000000000
6709.00,6627.471940139,6601.000000000,13254.943880278,13201.000000000,19882.415820417,19802.000000000
6710.00,6654.195617317,6627.000000000,13308.391234634,13255.000000000,19962.586851951,19882.000000000
6711.00,6680.919294495,6654.000000000,13361.838588990,13308.000000000,20042.757883485,19963.000000000
6712.00,6707.642971673,6681.000000000,13415.285943346,13362.000000000,20122.928915019,20043.000000000
